GlobalSeq,GreatBooksSet,Evidence,PresentIn1952Set,PresentIn1990Set,EditionNotes,IsGreatBooksCoreOrExpansion,YearLabel,Year,SeqInYear,Author,Work,PlanSelection,FocusSections,Themes,ReadStrategy,IsMissingFromOriginalPlan,PlacementNote,SelectionLogic,GreatIdeas_VolI,GreatIdeas_VolII
105,Core (1952),implicit (covered under 'works of' volume),Yes,Yes,,Yes,Year 5,5,7,Hippocrates,The Book of Prognostics,,Focus: opening (question/terms); one central argument or turning point; a representative example/scene; closing resolution (Read whole; then re-read these anchors),God; Religion; Sin; Truth,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",God,Religion; Sin; Truth
106,Core (1952),implicit (covered under 'works of' volume),Yes,Yes,,Yes,Year 5,5,8,Hippocrates,Of the Epidemics,,Focus: opening (question/terms); one central argument or turning point; a representative example/scene; closing resolution (Read whole; then re-read these anchors),God; Religion; Sin; Truth,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",God,Religion; Sin; Truth
107,Core (1952),implicit (covered under 'works of' volume),Yes,Yes,,Yes,Year 5,5,9,Hippocrates,The Law,,Focus: opening (question/terms); one central argument or turning point; a representative example/scene; closing resolution (Read whole; then re-read these anchors),Law; Constitution; God; Government; Justice; Religion; Sin; State,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Law; Constitution; God; Government; Justice,Religion; Sin; State
108,Core (1952),implicit (covered under 'works of' volume),Yes,Yes,,Yes,Year 5,5,10,Hippocrates,On the Sacred Disease,,Focus: opening (question/terms); one central argument or turning point; a representative example/scene; closing resolution (Read whole; then re-read these anchors),God; Religion; Sin; Truth,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",God,Religion; Sin; Truth
109,Core (1952),core title,Yes,Yes,,Yes,Year 5,5,11,Galen,On the Natural Faculties,,Focus: opening (question/terms); one central argument or turning point; a representative example/scene; closing resolution (Read whole; then re-read these anchors),God; Religion; Sin; Truth,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",God,Religion; Sin; Truth
110,Core (1952),core title,Yes,Yes,,Yes,Year 5,5,12,Virgil,The Aeneid,,Focus: opening (question/terms); one central argument or turning point; a representative example/scene; closing resolution (Read whole; then re-read these anchors),God; Religion; Sin; Truth,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",God,Religion; Sin; Truth
111,Core (1952),core title,Yes,Yes,,Yes,Year 5,5,13,Ptolemy,The Almagest,"Book I, Ch. 1-8","Book I, Ch. 1-8 (Revisit these as anchors after reading the whole work)",Truth; Knowledge; Reasoning; Justice,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Knowledge; Justice,Truth; Reasoning
112,Core (1952),core title,Yes,Yes,,Yes,Year 5,5,14,Copernicus,Revolutions of the Heavenly Spheres,"Introduction-Book I, Ch. 11","Introduction-Book I, Ch. 11 (Revisit these as anchors after reading the whole work)",Government; Science; State; Evolution; Law; Nature; Revolution; Hypothesis,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Government; Evolution; Law; Hypothesis,Science; State; Nature; Revolution
113,Core (1952),core title,Yes,Yes,,Yes,Year 5,5,15,Kepler,Epitome of Copernican Astronomy,"Book IV, Part II, Ch. 1-2","Book IV, Part II, Ch. 1-2 (Revisit these as anchors after reading the whole work)",Science; Art; Astronomy; Beauty; Form; Space; Hypothesis; Physics,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Art; Astronomy; Beauty; Form; Hypothesis,Science; Space; Physics
114,Core (1952),core title,Yes,Yes,,Yes,Year 5,5,16,Plotinus,Sixth Ennead,,Focus: opening (question/terms); one central argument or turning point; a representative example/scene; closing resolution (Read whole; then re-read these anchors),God; Religion; Sin; Truth,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",God,Religion; Sin; Truth
115,Core (1952),core title,Yes,Yes,,Yes,Year 5,5,17,St. Thomas Aquinas,Summa Theologica,"Part I, QQ 75-76, 78-79","Part I, QQ 75-76, 78-79 (Revisit these as anchors after reading the whole work)",Reasoning; God; Justice; Law; Soul; Theology; Truth; Virtue and Vice,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",God; Justice; Law,Reasoning; Soul; Theology; Truth; Virtue and Vice
116,Core (1952),core title,Yes,Yes,,Yes,Year 5,5,18,Dante,The Divine Comedy (Inferno),,Focus: opening (question/terms); one central argument or turning point; a representative example/scene; closing resolution (Read whole; then re-read these anchors),God; Sin; Justice; Life and Death; Love; Theology; Religion,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",God; Justice; Life and Death; Love,Sin; Theology; Religion
117,Core (1952),core title,Yes,Yes,,Yes,Year 5,5,19,Harvey,The Motion of the Heart and Blood,,Focus: opening (question/terms); one central argument or turning point; a representative example/scene; closing resolution (Read whole; then re-read these anchors),Art; Beauty; Form; God; Religion; Sin,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Art; Beauty; Form; God,Religion; Sin
118,Core (1952),core title,Yes,Yes,,Yes,Year 5,5,20,Cervantes,Don Quixote,Part I,Part I (Revisit these as anchors after reading the whole work),Art; Beauty; Form; Truth,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Art; Beauty; Form,Truth
119,Core (1952),core title,Yes,Yes,,Yes,Year 5,5,21,Spinoza,Ethics,Part II,Part II (Revisit these as anchors after reading the whole work),God; Metaphysics; Nature; Reasoning; Truth; Virtue and Vice; Will; Art,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",God; Art,Metaphysics; Nature; Reasoning; Truth; Virtue and Vice; Will
